Регион,Количество человек,Коэффициент безопасности
Алтайский край,2324983,0.0037
Амурская область,791619,0.0054
Архангельская область,1140327,0.0036
Астраханская область,1009924,0.0031
Белгородская область,1548284,0.0020
Брянская область,1196339,0.0030
Владимирская область,1362110,0.0029
Волгоградская область,2499272,0.0037
Вологодская область,1164079,0.0033
Воронежская область,2326013,0.0030
г. Москва,12646679,0.0027
г. Санкт-Петербург,5390977,0.0027
г. Севастополь,446174,0.0032
Еврейская АО,159109,0.0054
Забайкальский край,1062742,0.0050
Ивановская область,1000657,0.0028
Иркутская область,2394478,0.0041
Кабардино-Балкарская Респ.,867284,0.0019
Калининградская область,1007349,0.0032
Калужская область,1005978,0.0039
Камчатский край,313868,0.0038
Карачаево-Черкесская Респ.,465546,0.0022
Кемеровская область-Кузбасс,2666055,0.0043
Кировская область,1267255,0.0032
Костромская область,635325,0.0030
Краснодарский край,5661848,0.0032
Красноярский край,2870140,0.0040
Курганская область,830933,0.0040
Курская область,1105524,0.0028
Ленинградская область,1861869,0.0035
Липецкая область,1141703,0.0025
Магаданская область,140691,0.0043
Московская область,7645255,0.0021
Мурманская область,744729,0.0034
Нижегородская область,3208785,0.0029
Новгородская область,598401,0.0044
Новосибирская область,2795777,0.0046
Омская область,1935430,0.0027
Оренбургская область,1959921,0.0031
Орловская область,736483,0.0027
Пензенская область,1311833,0.0021
Пермский край,2605030,0.0032
Приморский край,1899293,0.0040
Псковская область,627882,0.0030
Республика Адыгея,458915,0.0022
Республика Алтай,219524,0.0048
Республика Башкортостан,4044578,0.0031
Республика Бурятия,984604,0.0049
Республика Дагестан,3098492,0.0010
Республика Ингушетия,502226,0.0009
Республика Калмыкия,271891,0.0022
Республика Карелия,616059,0.0049
Республика Коми,825353,0.0045
Республика Крым,1912220,0.0026
Республика Марий Эл,679899,0.0025
Республика Мордовия,792850,0.0022
Республика Саха (Якутия),969502,0.0028
Республика Сев. Осетия-Алания,698044,0.0025
Республика Татарстан,3900758,0.0032
Республика Тыва,325902,0.0062
Республика Хакасия,535215,0.0045
Ростовская область,4200071,0.0036
Рязанская область,1111492,0.0021
Самарская область,3181285,0.0031
Саратовская область,2431355,0.0028
Сахалинская область,488947,0.0041
Свердловская область,4313190,0.0030
Смоленская область,938625,0.0035
Ставропольский край,2799408,0.0029
Тамбовская область,1011357,0.0027
Тверская область,1265007,0.0040
Томская область,1078355,0.0036
Тульская область,1472472,0.0019
Тюменская область,3740252,0.0014
Удмуртская Республика,1504172,0.0039
Ульяновская область,1234120,0.0021
Хабаровский край,1318557,0.0042
Ханты-Мансийский АО,1669236,0.0027
Челябинская область,3471061,0.0041
Чеченская Республика,1467838,0.0004
Чувашская Республика,1220605,0.0023
Чукотский АО,49975,0.0034
Ямало-Ненецкий АО,542961,0.0029
Ярославская область,1256501,0.0029
