Регион,Количество силовиков на человека
Алтайский край,0.0051
Амурская область,0.0066
Архангельская область,0.0057
Астраханская область,0.0051
Белгородская область,0.0038
Брянская область,0.0054
Владимирская область,0.0047
Волгоградская область,0.0041
Вологодская область,0.0061
Воронежская область,0.0037
г. Москва,0.0044
г. Санкт-Петербург,0.0049
г. Севастополь,0.0041
Еврейская АО,0.0071
Забайкальский край,0.0057
Ивановская область,0.0048
Иркутская область,0.0050
Кабардино-Балкарская Респ.,0.0056
Калининградская область,0.0045
Калужская область,0.0045
Камчатский край,0.0085
Карачаево-Черкесская Респ.,0.0061
Кемеровская область-Кузбасс,0.0050
Кировская область,0.0049
Костромская область,0.0060
Краснодарский край,0.0046
Красноярский край,0.0054
Курганская область,0.0059
Курская область,0.0052
Ленинградская область,0.0001
Липецкая область,0.0045
Магаданская область,0.0130
Московская область,0.0037
Мурманская область,0.0062
Нижегородская область,0.0045
Новгородская область,0.0066
Новосибирская область,0.0042
Омская область,0.0048
Оренбургская область,0.0046
Орловская область,0.0056
Пензенская область,0.0044
Пермский край,0.0053
Приморский край,0.0066
Псковская область,0.0060
Республика Адыгея,0.0052
Республика Алтай,0.0068
Республика Башкортостан,0.0037
Республика Бурятия,0.0045
Республика Дагестан,0.0046
Республика Ингушетия,0.0070
Республика Калмыкия,0.0072
Республика Карелия,0.0066
Республика Коми,0.0063
Республика Крым,0.0041
Республика Марий Эл,0.0044
Республика Мордовия,0.0053
Республика Саха (Якутия),0.0058
Республика Сев. Осетия-Алания,0.0092
Республика Татарстан,0.0040
Республика Тыва,0.0059
Республика Хакасия,0.0052
Ростовская область,0.0038
Рязанская область,0.0047
Самарская область,0.0046
Саратовская область,0.0049
Сахалинская область,0.0075
Свердловская область,0.0047
Смоленская область,0.0047
Ставропольский край,0.0048
Тамбовская область,0.0056
Тверская область,0.0045
Томская область,0.0049
Тульская область,0.0048
Тюменская область,0.0052
Удмуртская Республика,0.0040
Ульяновская область,0.0040
Хабаровский край,0.0065
Ханты-Мансийский АО,0.0053
Челябинская область,0.0045
Чеченская Республика,0.0075
Чувашская Республика,0.0042
Чукотский АО,0.0131
Ямало-Ненецкий АО,0.0068
Ярославская область,0.0054
